('ポートフォリオ', 0.04715008154779537)
('学習', 0.030723314606741572)
('自己評価', 0.025422094086745013)
('活動', 0.02433375990544093)
('評価', 0.021769662921348316)
('児童', 0.01850594857937365)
('言語', 0.016256542783143795)
('音声認識', 0.015716693849265124)
('研究', 0.015273876404494381)
('ツール', 0.015052752792260258)
('授業', 0.014718761709062623)
('機能', 0.014558012882440605)
('相互', 0.013101470022893186)
('蓄積', 0.012951839949670174)
('活動中', 0.011787520386948842)
('的', 0.011587078651685394)
('等', 0.011381919955770758)
('ため', 0.011235955056179775)
('成果物', 0.009537904930914652)
('動画', 0.009477659165497199)
('教師', 0.009376347280215984)
('ら', 0.008362640440144587)
('要件', 0.007895871393866091)
('1枚', 0.007858346924632562)
('実践', 0.0074692223598228245)
('体育', 0.0073687229236942065)
('枚', 0.0073687229236942065)
('アドバイス', 0.007297036430015951)
('文字入力', 0.007297036430015951)
('使用', 0.007260879971784794)
('支援', 0.006846910112359551)
('時間', 0.006846910112359551)
('育成', 0.00669011235211567)
('検証', 0.0066765334516402566)
('活用', 0.006672159974072513)
('記録', 0.006662141488574516)
('辞書', 0.00659430494235325)
('自分', 0.006370807306907703)
('課題', 0.006320224719101123)
('教科', 0.006168649526457885)
('カード', 0.0061546846128630334)
('児童生徒', 0.006132602989439364)
('後', 0.0058871999771228055)
('記述', 0.00571175827515863)
('問題点', 0.005690959977885379)
('生徒', 0.005575093626763059)
('機器', 0.005428411583282938)
('単元', 0.005428411583282938)
('平成', 0.005296338945424905)
('中', 0.0052668539325842695)
('必要', 0.005091292134831461)
('入力', 0.005052709243409558)
('実技', 0.0050517944515495045)
('変容', 0.0050517944515495045)
('OPP', 0.0050517944515495045)
('語彙', 0.004789669900401234)
('撮影', 0.004738829582748599)
('年', 0.004688173640107992)
('小学生', 0.004490483956932892)
('国語', 0.004460074901410447)
('子ども', 0.004460074901410447)
('充実', 0.004441427659049676)
('ICT', 0.004441427659049676)
('力', 0.004393660211660485)
('作成', 0.004389044943820225)
('効果', 0.004213483146067416)
('結果', 0.004213483146067416)
('章', 0.004213483146067416)
('自身', 0.004194681677991361)
('学習指導要領', 0.004181320220072293)
('記入', 0.004133092136729683)
('システム', 0.004121039983985964)
('あて', 0.004052797608031814)
('指導', 0.004037921348314607)
('可能', 0.004037921348314607)
('実用', 0.003929173462316281)
('知識', 0.003924799984748537)
('，', 0.0038623595505617976)
